Name,Description,Can_be_colored,Is_attack_sigil,Upgraded_sigil
Imitation Art,"When played, a copy of another card you control is added to your hand.",T,,Sludge Art
Sludge Art,"When played, a copy of another card you control and of an opposing card is added to your hand.",T,,
Chew Toy,"When played, a Hound card is added to your hand. While this card is the field, the cost of Hound cards is halved.",T,,
Mech Builder,"When played, add a Mechabeast card of your choice to your hand.",T,,
Psychic Link,"When played, search a common Ceremorph card. If you don't have any, add a ""Squidling"" to your hand.",T,,
Fragile Construct,"When played, search a [mark:brittle] Brittle card from your deck or discard, or add a ""Skeleton"" to your hand.",T,,
Re-Index,"When played, search a common card from your deck costing up to 6 energy and another from your discard.",,,Restore
Restore,"When played, search an energy-costing common card from your deck and another from your discard.",,,
Hoarder,"When played, search a common card from your deck.",T,,Collector
Collector,"When played, search a card from your deck.",T,,
Horde,"When this card kills another, add a ""TOKEN"" to your hand.",T,,
Hotfix,"When your side deck cards die, they return to your hand instead.",T,,
Disentomb,"Pay 2 bones to search a [mark:brittle] Brittle card from any of your decks.",T,,
Cybernetics,"Pay 4 energy to create and place a ""Cyborg"" or a ""Flyborg"" on your field.",T,,
Print Process,"Pay 2 energy cells to draw a card from your deck.",T,,
Printing Press,"Pay 2 metal to draw a card from your deck.",T,,
Reanimate,"Once per turn, pay for and play a common card from your discard.",T,,
Equivalent Exchange,"Once per turn, exchange a card from your hand with one it shares a tribe with from your discard pile.",T,,
Colony,This card's power is the number of Ant cards you control.,T,T,
Pylon Powered,This card's power is the number of Pylon cards you control.,T,T,
Burden Power,"This card's power is the number of Pelt cards you control, including itself.",T,T,
Strong Hand,"This card's power is the size of your hand, up to 5.",T,T,
Spilt Blood,"This card's power is the amount of blood you made this turn, up to 5.",T,T,
Scattered Bones,"This card's power is half the number of unspent bones you own, rounded down and up to 5.",T,T,
Catacomb,"This card's power is the number of unspent bones you own, up to 5.",T,T,
Grim Power,"When another card perishes, this card gains 1 power, up to 5.",T,,
Overclock,"This card's power is half your amount of unspent energy, rounded down.",T,T,
Gem Powered,This card's power is the number of Mox cards you control.,T,T,
Gem Power,This card's power is the number of gems being provided on your field.,T,T,
Flesh Power,"This card's power is the number of Flesh chemicals you own, up to 5.",T,T,
Dice Power,"When played, roll a d6. This card's power is the result.",T,T,
Facsimile,This card's power is the opposing card's power.,T,T,
traeH Power,This card's power is the opposing card's health.,T,T,
Health Power,This card's power is this card's health.,T,T,
Scale Power,This card's power is dependent on how tipped in your favour the scales are.,T,T,
Item Power,This card's power is twice the number of items you own.,T,T,
Overcharge,"For every energy cell you would gain when already at 12, this card gains 1 power, up to 7.",,,
Raging Flames,"During your end step, this card loses 1 health and gains 1 power.",T,,Whimsical Leader
Bell Ringer,"This card's power is the number of times the bell was rung since it was played, up to 5.",T,T,
Bloodlust,"When this card kills another, it gains 1 power, up to 5.",T,,Bloodshed
Bloodshed,"When this card damages another, it gains 1 power, up to 5.",T,,
Resentful,"When damaged, this card gains 1 power, up to 5.",T,,Sensitive
Sensitive,"When damaged or when its space is struck directly, this card gains 1 power, up to 5.",T,,
Dust Power,"When your Mox cards die, this card gains 1 power, up to 5.",,,Dust Fueled
Dooming Dust,"Once per turn, you may shatter a card to make another card have 2 more power until your end step.",,,
Stimulate,"Once per turn, pay 3 energy to make this card gain 1 power, up to 5.",T,,
Power Dice,"Pay 3 energy to roll a D6. This card's base power becomes the result until your end step.",T,,
Infinifold,"Once per turn, you may shatter a card to double this card's power.",T,,
Expertise,Any stat change applied to this card apart from damage is doubled.,T,,Mastery
Mastery,Any stat change applied to this card apart from damage is tripled.,T,,
Leader,Adjacent cards have 1 more power.,T,,Commander
Commander,Adjacent cards have 2 more power.,T,,
Sea Shanty,"Your [mark:brittle] Brittle cards have 1 more power.",T,,Treasure Hunt
Treasure Hunt,"Your [mark:brittle] Brittle cards have 2 more power.",T,,
Haunted Stonework,"During your end step, a [sigil:MadeofStone] terrain card is added to your hand. Your [sigil:MadeofStone] cards have 1 more power.",T,,Stone Spirit
Stone Spirit,"During your end step, a [sigil:MadeofStone] terrain card is added to your hand. Your [sigil:MadeofStone] cards have 2 more power.",,,
Truest Patron,"Your other [sigil:Familiar] cards have 1 more power.",T,,Best Friends Forever
Best Friends Forever,"Your other [sigil:Familiar] cards have 2 more power.",T,,
Witching Hour,Your other Spectre cards have 1 more power.,T,,Blood Moon
Blood Moon,Your other Spectre cards have 2 more power.,,,
Leep Leader,Your other Leep cards have 1 more power.,T,,Leep Commander
Leep Commander,Your other Leep cards have 2 more power.,T,,
Gem Animator,Your other Mox cards have 1 more power.,,,Gem Empowerer
Gem Empowerer,Your other Mox cards have 2 more power.,,,
Enhanced Pylons,Your pylon cards have 1 more power.,T,,Empowered Pylons
Empowered Pylons,Your pylon cards have 2 more power.,T,,
Psychic Spores,Your other Polyp cards have 1 more power.,T,,Mental Spores
Mental Spores,Your other Polyp cards have 2 more power.,T,,
Psionic Guidance,Your other Ceremorph cards have 1 more power.,T,,Psionic Control
Psionic Control,Your other Ceremorph cards have 2 more power.,,,
Curse,Your other Ancient cards have 1 more power.,T,,Malediction
Malediction,Your other Ancient cards have 2 more power.,T,,
Offense Upgrade,Your cards with 1 base power have 1 more power.,T,,Extreme Offense
Extreme Offense,Your cards with 0 to 1 base power have 1 more power.,T,,
Cheerful,Your Side deck cards have 1 more power.,T,,Ecstatic
Ecstatic,Your Side deck cards have 2 more power.,T,,
Numerology,Your Cards with a number in their name have 1 more power.,T,,
Unholy Will,Your other cards have 1 more power.,T,,August Aura
August Aura,Your other cards have 2 more power.,T,,Regal Presence
Regal Presence,Your other cards have 4 more power.,T,,
Whimsical Leader,"During your end step, a card of your choice gains 1 power, up to 5.",T,,Empower
Empower,"During your end step, a card of your choice gains 1 power.",T,,
Soul Strike,"When this card dies, a Mox card you control gains 1 power and strikes its opposing space.",,,Soul Assault
Soul Assault,"When this card dies, a Mox card you control gains 1 power and strikes an opposing space of your choice.",,,
Sparkling Dust,"You may shatter a card to make this card gain 1 power, up to 5.",,,
Arcane Blessing,"Once per turn, you may discard a card from your hand to make a card gain 1 power.",,,
Turbocharge,"Pay 3 energy to add [sigil:Overclocked] Overclock to a card you control that doesn't have it.",T,,
Convalesce,"During your end step, this card gains 1 health, up to 5.",T,,Whimsical Healer
Reinforce,"During your end step, one of your other cards gains 1 health, up to its base health.",T,,Healthcare
Healthcare,"During your end step, heal one of your other cards up to its base health.",T,,
Whimsical Healer,"During your end step, a card of your choice gains 1 health, up to 5.",,,Health Boost
Health Boost,"During your end step, a card of your choice gains health equal to this card's health, up to 5.",,,
Eternal Life,"During your end step, your other cards gain 1 health, up to 5.",T,,
Bloodsucker,"When this card damages another, it gains 1 health, up to 5.",T,,Bloodguzzler
Bloodguzzler,"When this card damages another, it gains health equal to the damage taken, up to 5.",T,,
Heart of Dust,"When your Mox cards die, this card gains 1 health, up to 5.",,,Dust Fueled
Assimilator,"During your end step, adjacent cards perish. Add their health to this card.",T,,
Assembly,"During your end step, adjacent cards perish. Their sigils replace this card's other sigils.",,,
Enlarge,"Pay 2 bones to increase this card's power and health by 1, up to 5.",T,,
Invigorate,"You may sacrifice a card, which perishes, and increases both stats of any card you control by 1, up to 5.",T,,
Absorption,"You may sacrifice a card to make this card gain 2 health up to 5.",T,,
Swapper,"When damaged, swap this card's health and power.",T,,Swap
Swap,"You may swap this card's health and power.",T,,
Morsel,"When sacrificed, this card's stats are added to the card it was sacrificed to.",T,,Delightful
Delightful,"When sacrificed, this card's stats are added to the card it was sacrificed to, which also gains 1 power and health.",T,,
Biotic Needles,"Pay 2 elixir to make another card gain 1 power, up to 5, or pay 2 flesh to make it gain 2 health, up to 5.",T,,
Medicine,"Pay 2 elixir to make adjacent cards have 1 more power, or 2 flesh to make them have 2 more health.",T,,
Dust Fueled,"When your Mox cards die, this card gains 1 power and health, up to 5.",,,
Recall the Broken,"When your cards perish due to [mark:brittle] Brittle, they return to your hand.",T,,
Recycled Pylons,"When your Pylon cards perish, they are returned to your hand.",T,,
Haunter,"After this card dies, the next card to enter its space gains its other sigils.",T,,Possessor
Possessor,"After this card dies, the next card to enter its space gains its other sigils, as well as [sigil:Haunter] Haunter.",T,,
Spiritual Persistance,"When played, another card gains [sigil:Haunter] Haunter.",,,Haunting Presence
Haunting Presence,"When played, all your other cards gain [sigil:Haunter] Haunter.",,,
Inscrybe,"When you sacrifice other cards, add their sigils to the card you are playing.",T,,
Terrain,"A card may enter this card's space. It gains all its other sigils, and this card is discarded.",T,,
Blank Copy,"When played, this card copies a sigil from a card you control.",T,,Download
Download,"When played, this card copies a sigil from any card on the board.",T,,
Splash of Color,"When played, choose 2 cards. They gain each other's sigils.",T,,
Stinky,The opposing card has 1 less power.,T,,Stench
Stench,The opposing card has 2 less power.,T,,
Glooming Dust,"Once per turn, you may shatter a card to make another card lose 1 power.",,,
Gooey,"When struck, the card that struck this one loses 1 power.",T,,Slimy
Slimy,"When struck, the card that struck this one loses 2 power.",T,,
Web Shooter,"When killed, the card that killed this card cannot attack next turn.",T,,Cobwebs
Cobwebs,"Any card that kills your cards won't be able to attack next turn.",T,,
Wrangler,"When this card damages another, that card cannot attack next turn.",T,,
Purist,The opposing card is treated as having no sigils or marks.,T,,Paralyzing
Paralyzing,"The opposing card is treated as having no sigils or marks, and has 0 power.",T,,
Ancient Presence,"All non-side deck opposing cards are treated as having no sigils or marks.",T,,
Spotlight,"The opposing space has a [mark:target] Target mark.",T,,Surveillance Network
Surveillance Network,"Once per turn, you may place a [mark:target] Target mark on any opposite space until your draw step.",T,,
Null Conduit,"This card counts as a Conduit card.",T,,
Pure Conduit,"Cards between this and another Conduit card nullify the sigils of their opposing card.",T,,
Attack Conduit,Cards between this and another Conduit card have 1 more power.,T,,Power Conduit
Power Conduit,Cards between this and another Conduit card have 2 more power.,T,,
Overclock Conduit,"Cards between this and another Conduit card have 2 more power, but you take 2 damage when they perish.",T,,
Turret Conduit,"When a card enters the opposing space of your Conduit cards or of cards between them, it is dealt 1 damage.",T,,
Heal Conduit,"During your end step, cards between this and another Conduit card gain 1 health, up to 5.",T,,Soul Conduit
Soul Conduit,"During your end step, your Conduit cards and cards between them gain 1 health, up to 5.",T,,
Armor Conduit,"During your end step, cards between this and another Conduit card gain an [mark:armor] Armor mark.",T,,Nano Conduit
Nano Conduit,"During your end step, your Conduit cards and cards between them gain an [mark:armor] Armor mark.",T,,
Spawn Conduit,"During your end step, a card costing from 0 to 3 energy is searched and placed between this and another Conduit card.",T,,Production Conduit
Production Conduit,"During your end step, search cards costing up to 3 energy and place them in every empty space between this and another Conduit card.",T,,
Blood Conduit,"Cards between this and another Conduit card provide 1 more blood when sacrificed.",T,,Bloodier Conduit
Bloodier Conduit,"Cards between this and another Conduit card provide 3 blood when sacrificed.",T,,
Energy Conduit,"While you control another Conduit card, your energy cells refill.",,,No Power Loss
Gem Conduit,"Cards between this and another Conduit card are gemified.",,,
Eldritch Conduit,"During your draw step, you may set one chemical's value per card between this and another Conduit card.",T,,
Activation Conduit,"Cards played between this and another Conduit card trigger their activated ability once for free.",,,Spam Conduit
Spam Conduit,"Cards played between this and another Conduit card trigger their activated ability twice for free.",,,
Conduit Relay,"If you control another Conduit card, all your other cards are considered to be between them.",T,,Energizer
Powered,"This card always counts as being between two Conduit cards.",T,,Capacitor
Capacitor,"Adjacent cards count as being between two Conduit cards.",T,,Energizer
Gem Cable,"While this card is on the field, your Mox cards count as Conduit cards.",,,Energizer
Energizer,"All your cards count as being between two Conduit cards.",T,,
Circuit Buff,"If this card is between two Conduit cards, it has 2 more power.",T,,Circuit Rage
Circuit Rage,"If this card is between two Conduit cards, it has 4 more power.",T,,
Fuse Cover,"Strikes targeting Conduit cards you control are redirected to this card.",T,,Breaker
Breaker,"Your conduit cards cannot be struck.",T,,
Enhanced Arcane,"If you provide 2 unique mox colors, this card has 1 more power.",,,Empowered Arcane
Empowered Arcane,"If you provide 2 unique mox colors, this card has 2 more power.",,,
Tribal Chant,"If this card shares a tribe with another card you control, it has 1 more power.",T,,
Night of the Living Dead,Your cards cost 2 fewer bones and energy to play.,T,,Full Moon Night
Full Moon Night,Your cards cost half their normal amount of bones and energy to play.,T,,
Unseelie Authority,"When a non-Spectre card you control perishes, a 0-power Spectre card is placed in its place.",T,,
Puppet Master,"Your [mark:brittle] cards ignore its effect, but perish when this card dies.",T,,Illusionist
Illusionist,"Your cards ignore [mark:brittle] Brittle.",T,,
Mental Fortitude,"Your cards ignore [sigil:GemDependent] and [sigil:Familiar] if there are at least 2 cards in your hand.",T,,Mental Mastery
Mental Mastery,"Your cards ignore [sigil:GemDependent] and [sigil:Familiar] if your hand is not empty.",T,,
Trinket Bearer,"When played, gain a random item.",T,,Lunar Dealer
Aligning Stars,"When played, gain a random boon.",T,,Lunar Dealer
Lunar Dealer,"When played, gain a random item and a random boon.",T,,
All-Sight,"During your draw step, look at the top card of one of your decks.",T,,Foresight
Foresight,"During your draw step, look at the top card of one of your decks. You may then shuffle that deck.",T,,
Cull Out,"When played, draw a card from your deck, then shuffle another card from your hand into your deck.",T,,Handy
Grim Call,"When played, draw a card from your deck. Unless you play it, it will be discarded when you ring the bell.",T,,Grim Gift
Grim Gift,"When played, draw 2 cards from your deck. Unless you play them, they will be discarded when you ring the bell.",T,,
Divination,"When played, look at and rearrange the top 3 cards on your deck.",T,,Occult
Occult,"When played, look at and rearrange the cards in your deck. Your deck is shuffled when this card dies.",T,,Prophecy
Prophecy,"When you would draw an unspecified card from your deck, search a card from your deck instead.",T,,
Event Horizon,"When played, swap another card on your field with one from your hand.",T,,
Tackle,"When played, the opposing card is sent to the backlane, if possible.",T,,Fling
Fling,"When played, the opposing card is sent to any space in the backlane.",T,,
Amorphous,This card is treated as having the opposing card's sigils.,T,,Mimic
Mimic,"When played, this card copies the sigils of any opposing card.",T,,
Undefined,"You may choose an opposing card to mimic the sigils of.",,,
Vicious Mockery,"If this card is played opposing a card, it mimics its stats and sigils.",T,,
Sigil Eater,"When this card kills another, that card's sigils replaces all sigils on this card, except for this one.",T,,Sigil Devourer
Sigil Devourer,"When this card kills another, it gains that card's sigils.",T,,
Transformation,"This card gains a maximum of 3 sigils from the cards sacrificed to play it.",T,,
Reaction Replica,"When you play a card, it gets played a second time.",T,,Reaction Duplicata
Reaction Duplicata,"When you play a card, it gets played two more times.",T,,
Double Death,"When your cards die, they perish 1 more time.",T,,Triple Death
Triple Death,"When your cards die, they perish 2 more times.",T,,
Arcane Echo,"Whenever you use an activated ability, trigger its effect a second time.",T,,Arcane Recursion
Arcane Recursion,"Whenever you use an activated ability, trigger its effect three times.",T,,
Time Loop,"While this card is on the field, your end step triggers twice.",T,,
Illusion Dust,"During your end step, this card makes your other cards believe it is a Mox card being shattered.",,,
Pay Tribute,"You may sacrifice a card to gain bones equal to its base health. It then perishes, and this card gains 1 power.",T,,
Wood Sculpting,"When played, you may switch your totem for another one.",T,,
Burden,"This card can only be removed from your deck by exchanging it.",T,,
Snapshot,"When played, a card on the field is discarded.",,,
Grim Epitaph,"When played, search a card from your discard and place it on your field.",,,
Particle Scan,"When played, a copy of an opposing card is placed on your field.",,,
Magickal Bleach,"When played, choose any card on the field. It will lose its sigils.",,,
Imposture,"This card is set aside from your main deck. It will reveal itself in battles.",T,,
The Golden Ram,"When killed in combat, a Golden Pelt is permanently added to your deck.",T,,
I Doth Decree,"Your cards have no maximum power or health.",T,,
Swift Play,"This card can only be played during any step of your opponent's turn.",T,,Omniplay
Omniplay,"This card can be played at any step during either turn.",T,,
